q0_w	q0_x	q0_y	q0_z	q1_w	q1_x	q1_y	q1_z	q2_w	q2_x	q2_y	q2_z	q3_w	q3_x	q3_y	q3_z	q4_w	q4_x	q4_y	q4_z	
0.999642	-0.024248	0.001887	-0.003135	0.991178	-0.129592	0.007168	0.023822	0.999393	0.019089	0.002501	-0.027572	0.998450	-0.033118	0.042213	-0.005602	0.999689	-0.016227	0.009047	0.009033
0.999650	-0.024284	0.001868	-0.003640	0.991344	-0.128448	0.007330	0.023778	0.999421	0.018847	0.002313	-0.027264	0.998476	-0.033508	0.042113	-0.006065	0.999674	-0.017297	0.009696	0.008686
0.999638	-0.023782	0.001740	-0.003700	0.991281	-0.128575	0.007799	0.024342	0.999423	0.019264	0.001983	-0.027174	0.998492	-0.033148	0.041791	-0.006241	0.999718	-0.017131	0.010107	0.008180
0.999631	-0.023779	0.001860	-0.003675	0.991444	-0.127488	0.007812	0.024461	0.999421	0.019382	0.001853	-0.027124	0.998494	-0.032675	0.041395	-0.006602	0.999696	-0.017082	0.010453	0.007658
0.999637	-0.023803	0.001559	-0.003427	0.991346	-0.128221	0.008049	0.024809	0.999418	0.019258	0.001861	-0.027180	0.998553	-0.032523	0.040414	-0.007328	0.999681	-0.017881	0.010753	0.006262
0.999592	-0.025262	0.002112	-0.002586	0.991304	-0.128156	0.008188	0.025139	0.999418	0.019126	0.001815	-0.027360	0.998508	-0.034395	0.040186	-0.007887	0.999574	-0.022254	0.010879	0.005774
0.999569	-0.025938	0.001832	-0.001746	0.991207	-0.129003	0.008143	0.026123	0.999371	0.018683	0.001988	-0.027948	0.998524	-0.034648	0.040110	-0.008052	0.999572	-0.022277	0.011646	0.005402
0.999589	-0.026934	0.001793	-0.000812	0.991052	-0.129771	0.007773	0.026815	0.999354	0.019048	0.002234	-0.028320	0.998493	-0.034471	0.039797	-0.008158	0.999572	-0.022277	0.011646	0.005402
0.999566	-0.026828	0.000941	0.000266	0.991186	-0.128922	0.007623	0.027158	0.999351	0.019056	0.002289	-0.028195	0.998494	-0.034439	0.039874	-0.008718	0.999587	-0.023164	0.012903	0.004381
0.999571	-0.027598	0.001125	0.000697	0.991113	-0.129097	0.007668	0.027661	0.999390	0.018941	0.002217	-0.027886	0.998430	-0.035752	0.040152	-0.009102	0.999477	-0.025319	0.013687	0.003889
0.999563	-0.027325	0.000870	0.001285	0.991156	-0.128547	0.007680	0.028525	0.999413	0.019140	0.002573	-0.027876	0.998507	-0.034449	0.040103	-0.008920	0.999568	-0.023570	0.014262	0.003532
0.999560	-0.027586	0.000950	0.001536	0.991062	-0.129274	0.007718	0.028966	0.999409	0.018969	0.002762	-0.027799	0.998460	-0.035322	0.040210	-0.009129	0.999463	-0.025081	0.014829	0.003385
0.999521	-0.028269	0.001237	0.001742	0.991143	-0.128791	0.007679	0.029327	0.999373	0.019340	0.002871	-0.027872	0.998468	-0.035485	0.040118	-0.008745	0.999495	-0.025358	0.015601	0.003791
0.999454	-0.031086	0.001746	0.002370	0.991159	-0.128301	0.007726	0.029518	0.999342	0.019342	0.003195	-0.028226	0.998471	-0.034738	0.040135	-0.008540	0.999471	-0.026236	0.015771	0.004037
0.999384	-0.032727	0.002137	0.003104	0.990903	-0.130241	0.007892	0.030540	0.999397	0.018751	0.003711	-0.028236	0.998539	-0.034291	0.039784	-0.008289	0.999486	-0.025001	0.016013	0.003977
0.999370	-0.032991	0.002312	0.003499	0.990780	-0.130776	0.007848	0.031155	0.999372	0.018457	0.003714	-0.027980	0.998471	-0.034981	0.039770	-0.008498	0.999416	-0.026010	0.016652	0.003695
0.999950	0.000000	0.000000	0.000000	0.999941	0.000000	0.000000	0.000000	0.999948	0.000000	0.000000	0.000000	0.999915	0.000000	0.000000	0.000000	0.999888	0.000000	0.000000	0.000000
0.999967	-0.000292	-0.000345	0.000607	0.999952	-0.000716	-0.000170	0.000437	0.999945	-0.000112	0.000130	0.000013	0.999905	0.000660	0.000036	-0.000189	0.999914	-0.000037	0.000510	-0.000343
0.999965	-0.001213	0.000166	0.000645	0.999907	-0.001139	-0.000139	0.000815	0.999943	0.000387	0.000005	0.000413	0.999920	0.000534	0.000030	-0.000238	0.999893	0.000037	0.000884	-0.000502
0.999952	-0.000427	-0.000554	0.000750	0.999926	0.000091	-0.000252	0.000852	0.999956	0.000935	-0.000172	0.000623	0.999945	0.000452	0.000184	-0.000495	0.999902	-0.001487	0.001385	-0.000580
0.999965	-0.000743	-0.000674	0.000774	0.999923	0.000086	-0.000190	0.000792	0.999936	0.001483	-0.000206	0.000533	0.999925	0.000150	0.000259	-0.000414	0.999870	-0.006880	0.002195	-0.000475
0.999936	-0.000760	-0.000961	-0.000084	0.999916	-0.000208	-0.000391	0.000794	0.999935	0.002094	-0.000115	0.000328	0.999924	0.001029	0.000028	-0.000222	0.999897	-0.006284	0.002244	-0.000248
0.999965	-0.001370	-0.001019	-0.000375	0.999916	0.000482	-0.000716	0.000716	0.999912	0.002637	-0.000210	0.000234	0.999920	0.000963	-0.000099	-0.000263	0.999870	-0.006644	0.002370	-0.000327
0.999973	-0.000453	-0.001651	-0.000433	0.999934	0.000306	-0.000733	0.001085	0.999925	0.002875	-0.000288	0.000219	0.999945	0.000165	-0.000155	-0.000244	0.999907	-0.007866	0.002687	-0.000394
0.999948	-0.001500	-0.001157	-0.000282	0.999951	0.000440	-0.000852	0.001385	0.999952	0.003244	-0.000255	0.000207	0.999937	0.000720	-0.000218	-0.000227	0.999855	-0.007306	0.002991	-0.000462
0.999961	-0.001533	-0.001650	0.000065	0.999921	0.001004	-0.000948	0.001804	0.999964	0.003489	-0.000277	0.000257	0.999912	-0.000028	-0.000095	-0.000295	0.999859	-0.009001	0.003441	-0.000738
0.999910	-0.001182	-0.002038	0.000451	0.999953	0.000718	-0.001097	0.002477	0.999958	0.004350	-0.000280	0.000279	0.999943	0.000671	-0.000204	-0.000100	0.999878	-0.007160	0.003683	-0.000784
0.999965	-0.001266	-0.002245	0.000598	0.999923	0.000975	-0.001151	0.002963	0.999955	0.004723	-0.000042	-0.000029	0.999915	0.000918	-0.000198	-0.000062	0.999858	-0.008468	0.003852	-0.000435
0.999969	-0.001579	-0.002185	0.000653	0.999934	0.000554	-0.001180	0.003275	0.999959	0.004720	-0.000038	-0.000089	0.999942	0.001513	-0.000466	0.000346	0.999890	-0.007625	0.004025	-0.000246
0.999950	-0.002007	-0.002051	0.000652	0.999956	0.000799	-0.001109	0.003576	0.999910	0.004365	-0.000092	0.000226	0.999928	0.001595	-0.000499	0.000588	0.999865	-0.008022	0.004061	0.000219
0.999909	-0.001293	-0.002641	0.001085	0.999943	0.001497	-0.001325	0.004295	0.999959	0.004437	-0.000054	0.000475	0.999937	0.002487	-0.000595	0.000887	0.999889	-0.007092	0.004435	0.000057
0.999942	-0.003051	-0.002185	0.001564	0.999906	0.000421	-0.001520	0.005047	0.999960	0.004373	-0.000046	0.000417	0.999922	0.002663	-0.000543	0.000803	0.999861	-0.007375	0.004635	-0.000258
0.999944	-0.001409	-0.003249	0.002836	0.999901	0.001554	-0.001833	0.005818	0.999938	0.004260	-0.000049	0.000604	0.999898	0.004093	-0.000441	-0.000391	0.999874	-0.007054	0.005764	-0.003118
0.999859	-0.002237	-0.004895	0.009577	0.999894	0.001154	-0.001995	0.006923	0.999916	0.004135	-0.000169	0.000723	0.999912	0.005082	-0.000478	-0.001712	0.999835	-0.008109	0.006614	-0.006453
0.999763	-0.001389	-0.006693	0.016260	0.999831	0.001571	-0.002294	0.012174	0.999931	0.004403	-0.000197	-0.000088	0.999916	0.006913	-0.000316	-0.003937	0.999805	-0.008705	0.007824	-0.012004
0.999593	-0.000778	-0.008803	0.025108	0.999804	0.001849	-0.002474	0.016999	0.999941	0.004315	-0.000355	-0.000401	0.999821	0.011157	-0.000292	-0.007296	0.999627	-0.007855	0.009794	-0.020665
0.999228	-0.000910	-0.010487	0.035845	0.999672	0.001552	-0.002769	0.023367	0.999910	0.003919	-0.000684	-0.000530	0.999626	0.016743	-0.000955	-0.019277	0.998796	-0.005417	0.014485	-0.044821
